"","variable","Moorea_6","Moorea_20","Moorea_40","Moorea_60","Bora Bora_6","Bora Bora_20","Bora Bora_40","Bora Bora_60","Tikehau_6","Tikehau_20","Tikehau_40","Rangiroa_6","Rangiroa_20","Rangiroa_40"
"1","Zoox"," 2.6e+06"," 2.1e+06"," 3.1e+06"," 2.9e+06"," 1.8e+06"," 2.1e+06"," 3.1e+06"," 2.6e+06"," 2.2e+06"," 2.9e+06"," 3.1e+06"," 3.2e+06"," 2.7e+06"," 3.2e+06"
"2","Chl_A"," 1.0e+01"," 1.2e+01"," 1.6e+01"," 1.6e+01"," 9.1e+00"," 1.2e+01"," 2.5e+01"," 2.1e+01"," 1.3e+01"," 2.0e+01"," 2.0e+01"," 1.1e+01"," 1.5e+01"," 1.5e+01"
"3","Chl_C2"," 3.1e+00"," 4.2e+00"," 5.1e+00"," 5.5e+00"," 3.8e+00"," 4.3e+00"," 9.1e+00"," 6.7e+00"," 5.1e+00"," 7.3e+00"," 7.4e+00"," 4.2e+00"," 4.9e+00"," 5.3e+00"
"4","RatioChlA"," 4.2e-06"," 5.8e-06"," 5.3e-06"," 5.5e-06"," 4.8e-06"," 7.2e-06"," 8.4e-06"," 7.9e-06"," 5.8e-06"," 7.1e-06"," 7.0e-06"," 3.5e-06"," 5.7e-06"," 4.9e-06"
"5","RatioChlC2"," 1.3e-06"," 1.9e-06"," 1.7e-06"," 1.8e-06"," 2.0e-06"," 2.6e-06"," 3.0e-06"," 2.7e-06"," 2.3e-06"," 2.5e-06"," 2.6e-06"," 1.3e-06"," 1.9e-06"," 1.7e-06"
"6","Chlorophylls"," 1.3e+01"," 1.6e+01"," 2.1e+01"," 2.2e+01"," 1.3e+01"," 1.7e+01"," 3.5e+01"," 2.7e+01"," 1.8e+01"," 2.7e+01"," 2.8e+01"," 1.5e+01"," 2.0e+01"," 2.1e+01"
"7","Chlorophylls_Ratio"," 5.5e-06"," 7.8e-06"," 7.0e-06"," 7.3e-06"," 6.8e-06"," 9.8e-06"," 1.1e-05"," 1.1e-05"," 8.1e-06"," 9.6e-06"," 9.6e-06"," 4.9e-06"," 7.5e-06"," 6.6e-06"
"8","Chlorophylls_Ratio_a_c2"," 3.3e+00"," 3.5e+00"," 3.2e+00"," 3.1e+00"," 2.9e+00"," 2.8e+00"," 2.8e+00"," 3.0e+00"," 2.6e+00"," 2.8e+00"," 2.9e+00"," 2.7e+00"," 3.1e+00"," 2.9e+00"
"9","Chlorophylls_Ratio_c2_a"," 3.1e-01"," 3.5e-01"," 3.2e-01"," 3.3e-01"," 3.9e-01"," 3.6e-01"," 3.6e-01"," 3.4e-01"," 3.9e-01"," 3.6e-01"," 3.5e-01"," 3.8e-01"," 3.3e-01"," 3.4e-01"
"10","Chlorophylls_Ratio_Ratio_c2_a"," 3.1e-01"," 3.5e-01"," 3.2e-01"," 3.3e-01"," 3.9e-01"," 3.6e-01"," 3.6e-01"," 3.4e-01"," 3.9e-01"," 3.6e-01"," 3.5e-01"," 3.8e-01"," 3.3e-01"," 3.4e-01"
"11","Size_Ba"," 6.7e-01"," 6.3e-01"," 7.1e-01"," 7.3e-01"," 7.1e-01"," 6.4e-01"," 7.2e-01"," 8.8e-01"," 6.8e-01"," 6.1e-01"," 7.3e-01"," 6.6e-01"," 6.6e-01"," 7.0e-01"
"12","Distance_Ba"," 4.2e-01"," 6.3e-01"," 5.5e-01"," 7.0e-01"," 4.4e-01"," 5.9e-01"," 6.1e-01"," 6.5e-01"," 4.2e-01"," 6.7e-01"," 5.7e-01"," 4.2e-01"," 5.6e-01"," 6.2e-01"
"13","Size_Ap"," 7.4e-01"," 8.1e-01"," 7.9e-01"," 8.5e-01"," 7.9e-01"," 7.7e-01"," 7.9e-01"," 8.7e-01"," 7.5e-01"," 8.1e-01"," 8.5e-01"," 7.1e-01"," 7.6e-01"," 7.9e-01"
"14","Distance_Ap"," 1.6e-01"," 2.6e-01"," 2.3e-01"," 2.4e-01"," 2.1e-01"," 2.4e-01"," 2.6e-01"," 1.7e-01"," 1.9e-01"," 2.4e-01"," 2.8e-01"," 2.6e-01"," 2.9e-01"," 3.1e-01"
"15","iso13C_Polyps","-1.5e+01","-1.7e+01","-1.9e+01","-1.8e+01","-1.6e+01","-1.6e+01","-1.7e+01","-1.8e+01","-1.5e+01","-1.7e+01","-1.8e+01","-1.5e+01","-1.6e+01","-1.8e+01"
"16","iso13C_Zoox","-1.4e+01","-1.8e+01","-1.8e+01","-1.8e+01","-1.5e+01","-1.6e+01","-1.7e+01","-1.9e+01","-1.5e+01","-1.6e+01","-1.8e+01","-1.5e+01","-1.6e+01","-1.8e+01"
"17","iso15N_Polyps"," 3.7e+00"," 5.5e+00"," 3.6e+00"," 5.8e+00"," 9.6e+00"," 5.5e+00"," 4.8e+00"," 3.9e+00"," 8.5e+00"," 7.1e+00"," 8.6e+00"," 1.0e+01"," 9.4e+00"," 1.0e+01"
"18","iso15N_Zoox"," 4.9e+00"," 5.3e+00"," 3.7e+00"," 3.7e+00"," 4.4e+00"," 5.0e+00"," 5.2e+00"," 4.2e+00"," 9.5e+00"," 8.1e+00"," 9.1e+00"," 1.1e+01"," 9.4e+00"," 1.0e+01"
"19","Ratio_CN_Polyps"," 3.9e+00"," 3.2e+00"," 4.1e+00"," 4.5e+00"," 2.5e+00"," 3.4e+00"," 3.1e+00"," 2.4e+00"," 3.3e+00"," 3.0e+00"," 3.2e+00"," 4.3e+00"," 3.7e+00"," 3.9e+00"
"20","Ratio_CN_Zoox"," 6.0e+00"," 5.6e+00"," 6.3e+00"," 6.2e+00"," 5.7e+00"," 5.8e+00"," 5.5e+00"," 5.3e+00"," 6.5e+00"," 6.0e+00"," 5.7e+00"," 6.1e+00"," 5.5e+00"," 5.6e+00"
"21","Delta13C_Pol_Zoox","-6.3e-01"," 2.8e-01","-5.0e-02","-2.7e-02","-2.5e-01"," 4.1e-01"," 2.7e-01"," 3.6e-01","-4.7e-01","-1.2e-01"," 3.8e-01","-9.3e-02","-1.0e-01"," 3.7e-01"
"22","Delta15N_Pol_Zoox","-1.2e+00"," 2.3e-01","-5.7e-02"," 2.1e+00"," 5.2e+00"," 5.4e-01","-4.7e-01","-2.3e-01","-9.9e-01","-9.4e-01","-5.4e-01","-1.2e+00","-5.0e-02"," 8.9e-02"
